Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,29.83,138.62
0.029,29.95,141.15
0.087,28.38,136.28
0.116,26.03,130.20
0.156,23.40,130.28
0.185,23.40,128.16
0.239,20.38,114.65
0.269,17.13,105.27
0.316,17.13,108.51
0.333,14.79,91.17
0.378,13.26,92.17
0.442,13.26,79.07
0.469,12.57,59.04
0.489,12.55,45.32
0.537,12.55,45.60
0.593,11.20,30.80
0.614,8.73,21.86
0.655,6.62,25.75
0.685,6.62,16.51
0.714,6.70,21.15
0.787,6.70,20.93
0.809,7.82,28.95
0.824,8.15,40.25
0.867,8.15,40.49
0.914,8.05,57.88
0.936,8.04,75.70
0.981,8.04,75.10
1.005,10.06,97.16
1.046,14.92,95.79
1.099,14.92,107.16
1.119,20.13,127.56
1.153,24.05,122.34
1.183,24.05,130.73
1.209,24.83,139.55
1.288,24.83,138.91
1.310,24.58,139.97
1.330,23.69,136.86
1.377,21.63,136.71
1.449,21.63,135.18
1.487,19.13,123.55
1.511,15.82,114.75
1.542,12.94,101.13
1.611,12.94,104.06
1.628,10.80,87.07
1.655,10.55,67.90
1.709,10.55,69.51
1.765,10.57,55.41
1.784,10.85,40.41
1.816,9.36,31.89
1.862,9.36,33.37
1.914,7.26,30.68
1.935,6.96,30.72
1.982,7.70,30.21
2.020,7.70,33.02
2.066,8.56,37.15
2.092,9.30,40.83
2.142,9.30,39.89
2.165,9.89,41.38
2.210,10.30,40.77
2.271,10.30,39.35
2.288,11.00,36.18
2.314,11.16,29.90
2.360,11.16,29.33
2.414,10.62,24.31
2.431,9.52,18.24
2.477,9.52,18.76
2.495,8.01,15.58
2.539,6.88,17.20
2.597,6.88,14.10
2.621,6.14,14.18
2.647,5.73,14.50
2.698,5.73,14.87
2.763,5.30,15.07
2.783,5.36,16.26
2.812,5.60,17.51
2.857,5.60,17.78
2.907,6.34,17.12
2.926,6.75,18.17
2.973,6.75,18.64
2.991,7.35,17.75
3.036,7.78,17.92
3.096,7.78,18.71
3.114,7.95,18.23
3.143,7.79,18.77
3.188,7.79,18.66
3.239,7.51,19.29
