Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,3.04,3.17
0.027,3.06,3.13
0.058,3.06,3.09
0.101,3.04,3.13
0.163,3.06,3.13
0.187,3.06,3.07
0.217,3.06,3.04
0.250,3.06,3.04
0.286,3.06,3.02
0.338,3.07,3.01
0.362,3.09,3.01
0.409,3.11,3.08
0.440,3.11,2.99
0.493,3.13,3.01
0.528,3.16,3.00
0.571,3.17,3.05
0.603,3.17,2.97
0.667,3.17,2.98
0.686,3.18,2.95
0.717,3.18,2.99
0.748,3.17,2.98
0.799,3.17,2.98
0.856,3.15,2.98
0.879,3.11,3.02
0.914,3.07,3.05
0.960,3.07,3.02
1.003,3.05,3.10
1.024,3.03,3.09
1.072,3.03,3.08
1.089,3.03,3.08
1.130,3.01,3.07
1.190,3.01,3.13
1.209,3.01,3.19
1.242,3.01,3.18
1.273,3.01,3.22
1.302,3.01,3.22
1.383,3.04,3.20
1.407,3.11,3.27
1.439,3.11,3.32
1.464,3.22,3.25
1.532,3.22,3.37
1.549,3.29,3.31
1.574,3.38,3.36
1.623,3.38,3.45
1.672,3.46,3.42
1.688,3.53,3.42
1.732,3.53,3.48
1.753,3.57,3.45
1.790,3.59,3.57
1.852,3.59,3.43
1.870,3.63,3.42
1.901,3.66,3.55
1.935,3.66,3.35
1.961,3.67,3.36
2.027,3.67,3.36
2.043,3.66,3.37
2.069,3.68,3.33
2.110,3.68,3.35
2.132,3.69,3.31
2.207,3.70,3.34
2.229,3.71,3.32
2.261,3.71,3.35
2.292,3.71,3.32
2.363,3.71,3.32
2.380,3.72,3.31
2.404,3.72,3.27
2.448,3.71,3.27
2.505,3.71,3.24
2.529,3.71,3.22
2.561,3.71,3.23
2.594,3.71,3.18
2.624,3.70,3.19
2.697,3.70,3.19
2.726,3.76,3.10
2.760,3.76,3.17
2.789,3.80,3.15
2.865,3.87,3.15
2.893,3.91,3.23
2.926,3.91,3.36
2.954,3.91,3.27
3.028,3.91,3.27
3.054,3.89,3.28
3.086,3.88,3.25
3.119,3.85,3.29
3.197,3.85,3.26
3.215,3.86,3.21
3.236,3.88,3.18
3.281,3.89,3.20
3.349,3.89,3.21
3.367,3.93,3.20
3.399,3.93,3.22
3.446,3.94,3.22
3.507,3.94,3.25
3.527,3.94,3.25
3.558,3.94,3.25
3.590,3.94,3.28
3.621,3.92,3.31
3.698,3.92,3.29
3.716,3.91,3.30
3.739,3.89,3.32
3.780,3.89,3.29
3.844,3.89,3.32
3.864,3.89,3.35
3.897,3.89,3.35
3.947,3.89,3.33
4.007,3.89,3.41
4.027,3.94,3.39
4.058,3.98,3.38
4.091,3.98,3.54
4.119,4.02,3.49
4.202,4.03,3.51
4.234,4.05,3.57
4.270,4.05,3.54
4.322,4.06,3.55
4.341,4.09,3.52
4.381,4.09,3.59
4.412,4.09,3.52
4.446,4.09,3.53
4.509,4.09,3.50
4.528,4.09,3.48
4.561,4.10,3.46
4.607,4.10,3.46
4.673,4.10,3.50
4.696,4.10,3.48
4.726,4.11,3.49
4.771,4.11,3.49
4.836,4.11,3.49
4.858,4.11,3.48
4.891,4.11,3.52
4.928,4.11,3.45
4.975,4.11,3.49
5.003,4.10,3.45
5.049,4.09,3.45
5.088,4.09,3.41
5.148,4.10,3.39
5.169,4.10,3.41
5.217,4.11,3.43
5.253,4.11,3.38
5.307,4.11,3.40
5.338,4.11,3.40
5.385,4.13,3.42
5.437,4.13,3.41
5.494,4.14,3.43
5.511,4.14,3.43
5.544,4.15,3.45
5.577,4.15,3.42
5.644,4.15,3.43
5.674,4.15,3.42
5.708,4.15,3.44
5.734,4.16,3.45
5.793,4.16,3.44
5.823,4.17,3.47
5.855,4.17,3.46
5.886,4.17,3.46
5.971,4.17,3.40
5.995,4.17,3.39
6.018,4.17,3.39
6.045,4.19,3.43
6.103,4.19,3.37
6.121,4.22,3.38
6.153,4.21,3.41
6.184,4.21,3.31
6.218,4.22,3.35
6.276,4.22,3.30
6.297,4.23,3.29
6.340,4.24,3.36
6.371,4.26,3.30
6.428,4.26,3.28
6.446,4.24,3.31
6.483,4.24,3.28
6.516,4.24,3.30
6.550,4.23,3.29
6.607,4.23,3.34
6.628,4.23,3.28
6.663,4.24,3.29
6.700,4.24,3.28
6.749,4.26,3.25
6.775,4.28,3.22
6.813,4.29,3.26
6.845,4.29,3.20
6.879,4.25,3.24
6.941,4.25,3.18
6.961,4.24,3.17
6.997,4.21,3.16
7.037,4.19,3.14
7.096,4.19,3.09
7.113,4.11,3.14
7.145,4.07,3.09
7.180,4.07,3.01
7.215,4.03,3.04
7.272,4.03,3.00
7.290,3.99,3.06
7.324,3.93,3.11
7.366,3.87,3.05
7.437,3.87,2.99
7.459,3.83,3.00
7.488,3.82,2.97
7.531,3.81,2.95
7.596,3.81,3.01
7.616,3.76,3.08
7.650,3.73,3.01
7.684,3.73,3.07
7.738,3.70,3.05
7.765,3.68,3.07
7.803,3.66,3.02
7.836,3.66,3.12
7.897,3.62,3.04
7.924,3.59,3.06
7.955,3.59,3.15
7.990,3.55,3.12
8.049,3.52,3.06
8.080,3.52,3.12
8.112,3.52,3.11
8.146,3.52,3.09
8.211,3.52,3.10
8.229,3.52,3.09
8.259,3.49,3.09
8.292,3.49,3.07
8.320,3.50,3.06
8.396,3.52,3.05
8.421,3.51,3.10
8.450,3.51,3.09
8.483,3.51,3.09
8.543,3.51,3.09
8.572,3.51,3.08
8.594,3.51,3.07
8.632,3.50,3.07
8.668,3.50,3.06
8.728,3.51,3.06
8.747,3.51,3.06
8.777,3.51,3.06
8.812,3.51,3.06
8.844,3.51,3.05
8.893,3.51,3.03
8.925,3.51,3.04
8.973,3.52,3.05
9.005,3.52,3.05
9.065,3.54,3.04
9.087,3.54,3.04
9.133,3.53,3.04
9.168,3.53,3.05
9.230,3.52,3.05
9.253,3.52,3.06
9.299,3.51,3.08
9.330,3.51,3.03
9.398,3.49,3.04
9.423,3.52,3.03
9.462,3.51,3.06
9.497,3.51,3.00
9.557,3.51,3.00
9.584,3.57,2.99
9.626,3.58,3.03
9.662,3.58,3.11
9.723,3.58,3.10
9.750,3.59,3.05
9.792,3.68,3.07
9.827,3.68,3.06
9.890,3.71,3.09
9.915,3.73,3.11
9.958,3.74,3.13
9.995,3.74,3.07
10.055,3.73,3.09
10.080,3.72,3.08
10.126,3.72,3.06
10.158,3.72,3.08
10.218,3.72,3.06
10.244,3.70,3.06
10.291,3.72,3.05
10.326,3.72,3.11
10.379,3.70,3.15
10.411,3.70,3.14
10.452,3.70,3.13
10.486,3.70,3.19
10.544,3.67,3.22
10.576,3.67,3.17
10.619,3.64,3.18
10.653,3.64,3.16
10.712,3.63,3.13
10.739,3.64,3.06
10.784,3.69,3.05
10.817,3.69,2.86
10.880,3.78,2.74
10.906,3.79,2.30
10.952,4.01,2.40
10.986,4.01,1.95
11.067,3.93,1.89
11.089,3.30,1.98
11.120,2.18,2.60
11.151,2.18,0.61
11.214,1.24,2.59
11.237,2.36,3.23
11.281,2.36,3.10
11.296,4.86,3.43
11.340,10.64,9.26
11.400,10.64,3.01
11.421,20.11,8.12
11.459,29.30,16.66
11.494,29.30,2.64
11.537,40.49,11.77
11.568,49.03,11.20
11.616,49.03,4.04
11.634,58.54,11.88
11.678,65.30,6.88
11.747,65.30,8.40
11.765,71.23,11.45
11.789,74.84,13.15
11.838,78.30,10.33
11.902,78.30,12.78
11.922,79.83,13.77
11.950,80.54,14.36
11.997,80.54,13.58
12.042,80.65,13.66
12.062,80.60,12.61
12.106,80.60,12.45
12.124,80.06,12.18
12.170,79.61,12.01
12.237,79.61,11.44
12.258,78.71,11.30
12.288,77.61,10.69
12.335,75.10,11.34
12.395,75.10,8.61
12.415,71.32,10.79
12.448,65.01,13.37
12.498,65.01,10.79
12.547,58.51,13.78
12.563,49.07,25.55
12.611,38.95,28.42
12.648,38.95,11.46
12.676,25.98,28.50
12.755,14.06,27.33
12.781,6.34,12.63
12.831,6.34,8.95
12.884,2.40,12.84
12.905,1.79,5.42
12.944,2.09,4.84
12.977,2.09,5.45
13.003,3.46,4.72
13.074,3.46,6.04
13.094,4.25,4.98
13.111,6.18,4.94
13.160,6.18,6.86
13.213,8.49,4.83
13.229,12.72,5.06
13.278,12.72,8.73
13.297,17.35,5.29
13.331,23.94,13.30
13.399,23.94,8.68
13.422,29.75,5.36
13.441,36.47,5.19
13.487,36.47,8.59
13.524,42.19,3.86
13.551,48.41,3.53
13.597,48.41,5.64
13.619,53.22,1.59
13.667,59.08,5.54
