Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,14.12,14.06
0.039,14.09,13.93
0.086,14.02,14.01
0.159,14.02,13.56
0.180,14.02,13.61
0.200,14.08,13.54
0.234,14.18,13.37
0.266,14.18,13.76
0.321,14.30,13.58
0.345,14.42,13.85
0.379,14.42,14.33
0.412,14.57,14.14
0.443,14.57,14.68
0.500,14.73,14.70
0.524,14.81,15.02
0.570,14.86,15.01
0.605,14.86,15.30
0.665,14.87,15.28
0.692,14.78,15.28
0.733,14.72,15.25
0.769,14.72,14.98
0.820,14.65,14.95
0.855,14.59,14.86
0.902,14.55,14.77
0.935,14.55,14.56
0.997,14.54,14.55
1.019,14.54,14.53
1.062,14.56,14.45
1.096,14.56,14.64
1.152,14.62,14.57
1.185,14.71,14.70
1.234,14.77,14.67
1.270,14.77,14.97
1.342,14.84,14.92
1.364,14.86,15.04
1.395,14.87,15.04
1.421,14.87,15.11
1.453,14.89,15.08
1.485,14.89,15.09
1.514,14.89,15.05
1.561,14.89,15.05
1.581,14.94,15.07
1.644,15.00,15.03
1.672,15.07,15.13
1.706,15.07,15.23
1.735,15.15,15.19
1.822,15.21,15.17
1.846,15.25,15.23
1.883,15.25,15.26
1.918,15.26,15.28
1.973,15.26,15.28
1.998,15.29,15.24
2.022,15.29,15.27
2.059,15.33,15.23
2.093,15.33,15.30
2.148,15.33,15.26
2.174,15.33,15.29
2.225,15.32,15.29
2.260,15.32,15.35
2.321,15.32,15.35
2.343,15.28,15.38
2.385,15.26,15.38
2.421,15.26,15.18
2.483,15.20,15.24
2.508,15.14,15.11
2.553,15.09,15.13
2.595,15.09,14.85
2.658,15.05,14.83
2.681,15.02,14.79
2.720,15.01,14.79
2.752,15.01,14.83
2.808,15.02,14.80
2.842,15.02,14.86
2.885,15.01,14.85
2.927,15.01,14.90
2.991,14.98,14.92
3.019,14.95,14.86
3.053,14.86,14.91
3.090,14.86,14.57
3.151,14.80,14.60
3.171,14.75,14.49
3.214,14.75,14.44
3.247,14.75,14.33
3.312,14.75,14.33
3.336,14.78,14.33
