Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,2.51,1.53,4.76,-15.20,-8.78s
0.030,2.51,1.53,4.80,-15.33,-8.81s
0.052,2.50,1.55,4.80,-15.37,-8.81s
0.085,2.50,1.55,4.80,-15.39,-8.80s
0.115,2.50,1.53,4.80,-15.44,-8.80s
0.140,2.50,1.53,4.78,-15.38,-8.82s
0.162,2.50,1.54,4.77,-15.38,-8.82s
0.194,2.50,1.54,4.80,-15.37,-8.80s
0.218,2.50,1.55,4.80,-15.41,-8.80s
0.249,2.50,1.55,4.80,-15.33,-8.80s
0.273,2.53,1.53,4.77,-15.28,-8.80s
0.304,2.53,1.53,4.76,-15.37,-8.80s
0.325,2.53,1.53,4.76,-15.37,-8.80s
0.359,2.53,1.53,4.76,-15.40,-8.79s
0.380,2.56,1.54,4.72,-15.41,-8.79s
0.416,2.56,1.54,4.79,-15.38,-8.81s
0.440,2.57,1.55,4.78,-15.41,-8.81s
0.470,2.57,1.55,4.80,-15.28,-8.80s
0.494,2.57,1.55,4.80,-15.28,-8.80s
0.526,2.57,1.55,4.80,-15.27,-8.80s
0.549,2.56,1.55,4.80,-15.29,-8.80s
0.580,2.56,1.55,4.79,-15.25,-8.80s
0.601,2.58,1.55,4.78,-15.27,-8.80s
0.637,2.58,1.55,4.79,-15.22,-8.80s
0.660,2.57,1.54,4.80,-15.28,-8.80s
0.690,2.57,1.54,4.79,-15.19,-8.80s
0.715,2.58,1.56,4.78,-15.16,-8.80s
0.747,2.58,1.56,4.80,-15.18,-8.80s
0.770,2.58,1.53,4.80,-15.27,-8.80s
0.801,2.58,1.53,4.79,-15.08,-8.79s
0.824,2.59,1.55,4.79,-15.08,-8.79s
0.857,2.59,1.55,4.81,-15.09,-8.80s
0.881,2.58,1.53,4.82,-15.10,-8.80s
0.910,2.58,1.53,4.80,-15.00,-8.80s
0.934,2.58,1.52,4.80,-15.00,-8.80s
0.968,2.58,1.52,4.79,-14.95,-8.79s
0.991,2.58,1.51,4.79,-14.90,-8.79s
1.021,2.58,1.51,4.76,-14.92,-8.78s
1.043,2.57,1.50,4.77,-14.91,-8.78s
1.077,2.57,1.50,4.76,-14.89,-8.78s
1.101,2.56,1.47,4.77,-14.91,-8.78s
1.131,2.56,1.47,4.72,-14.84,-8.79s
1.155,2.56,1.47,4.74,-14.74,-8.79s
1.187,2.56,1.47,4.72,-14.82,-8.79s
1.210,2.58,1.46,4.70,-14.84,-8.79s
1.241,2.58,1.46,4.73,-14.73,-8.78s
1.262,2.58,1.45,4.73,-14.61,-8.78s
1.297,2.58,1.45,4.72,-14.71,-8.78s
1.321,2.60,1.41,4.71,-14.71,-8.78s
1.353,2.60,1.41,4.70,-14.29,-8.70s
1.376,2.63,1.36,4.68,-14.30,-8.70s
1.408,2.63,1.36,4.66,-14.24,-8.71s
1.432,2.62,1.33,4.67,-14.22,-8.71s
1.461,2.62,1.33,4.65,-14.21,-8.70s
1.482,2.61,1.33,4.65,-14.21,-8.70s
1.517,2.61,1.33,4.64,-14.14,-8.70s
1.541,2.65,1.31,4.61,-14.13,-8.70s
1.572,2.65,1.31,4.65,-14.13,-8.71s
1.595,2.64,1.30,4.66,-14.17,-8.71s
1.627,2.64,1.30,4.64,-14.12,-8.71s
1.652,2.62,1.27,4.65,-14.15,-8.71s
1.682,2.62,1.27,4.62,-14.11,-8.72s
1.705,2.60,1.25,4.64,-14.08,-8.72s
1.739,2.60,1.25,4.59,-14.09,-8.72s
1.760,2.59,1.24,4.61,-14.10,-8.72s
1.792,2.59,1.24,4.58,-14.05,-8.71s
1.816,2.60,1.23,4.57,-14.04,-8.71s
1.847,2.60,1.23,4.60,-14.06,-8.72s
1.871,2.58,1.22,4.62,-14.04,-8.72s
1.903,2.58,1.22,4.57,-14.04,-8.72s
1.926,2.58,1.21,4.57,-13.98,-8.72s
1.956,2.58,1.21,4.56,-13.98,-8.70s
1.979,2.61,1.17,4.53,-13.91,-8.70s
2.014,2.61,1.17,4.55,-13.92,-8.68s
2.036,2.61,1.16,4.56,-13.80,-8.68s
2.068,2.61,1.16,4.56,-13.93,-8.68s
2.090,2.60,1.14,4.57,-13.92,-8.68s
2.124,2.60,1.14,4.55,-13.93,-8.68s
2.145,2.60,1.14,4.56,-13.86,-8.68s
2.179,2.60,1.14,4.55,-13.98,-8.68s
2.201,2.60,1.14,4.56,-13.94,-8.68s
2.233,2.60,1.14,4.55,-14.00,-8.67s
2.256,2.59,1.12,4.55,-14.03,-8.67s
2.290,2.59,1.12,4.54,-13.94,-8.66s
2.311,2.59,1.14,4.54,-13.82,-8.66s
2.343,2.59,1.14,4.54,-14.07,-8.68s
2.364,2.58,1.16,4.55,-14.16,-8.68s
2.399,2.58,1.16,4.55,-14.05,-8.70s
2.420,2.60,1.20,4.53,-14.05,-8.70s
2.455,2.60,1.20,4.53,-14.09,-8.68s
2.478,2.63,1.29,4.50,-14.16,-8.68s
2.513,2.63,1.29,4.59,-14.15,-8.68s
2.538,2.65,1.33,4.56,-14.24,-8.68s
2.564,2.65,1.33,4.61,-14.11,-8.69s
2.587,2.66,1.37,4.59,-14.08,-8.69s
2.619,2.66,1.37,4.65,-14.14,-8.68s
2.642,2.66,1.37,4.65,-14.17,-8.68s
2.675,2.66,1.37,4.67,-14.11,-8.75s
2.700,2.63,1.29,4.71,-13.96,-8.75s
2.731,2.63,1.29,4.46,-13.88,-8.64s
2.756,2.63,1.05,4.51,-12.68,-8.64s
2.785,2.63,1.05,4.45,-13.38,-8.22s
2.810,2.64,0.90,4.47,-11.74,-8.22s
2.842,2.64,0.90,4.56,-14.52,-8.99s
2.864,2.64,0.80,4.55,-14.03,-8.99s
2.895,2.64,0.80,6.91,-16.92,-15.04s
2.919,2.96,1.50,7.01,-14.71,-15.04s
2.949,2.96,1.50,13.66,-20.16,-19.01s
2.975,4.06,3.32,13.82,-15.92,-19.01s
3.005,4.06,3.32,29.84,-24.08,-16.48s
3.028,5.39,5.53,30.07,-19.40,-16.48s
3.061,5.39,5.53,49.02,-21.57,-7.54s
3.083,5.27,8.35,50.75,-16.78,-7.54s
3.116,5.27,8.35,73.96,-4.57,-2.88s
3.141,2.10,10.98,78.05,1.39,-2.88s
3.169,2.10,10.98,91.37,24.27,3.88s
3.195,5.37,15.96,99.97,35.29,3.88s
3.225,5.37,15.96,109.72,61.08,1.39s
3.247,11.97,20.51,116.75,65.01,1.39s
3.279,11.97,20.51,123.04,85.47,5.62s
3.301,16.85,26.58,128.33,84.08,5.62s
3.335,16.85,26.58,135.71,101.40,7.59s
3.363,19.47,30.09,138.32,99.08,7.59s
3.391,19.47,30.09,139.00,109.05,12.01s
3.415,16.59,30.06,136.53,107.08,12.01s
3.446,16.59,30.06,133.76,102.01,12.62s
3.471,11.99,27.49,129.31,100.59,12.62s
3.500,11.99,27.49,125.61,95.79,13.93s
3.524,6.94,22.87,120.40,96.39,13.93s
3.557,6.94,22.87,108.32,72.79,14.43s
3.581,4.10,19.31,105.19,73.97,14.43s
3.610,4.10,19.31,91.18,37.81,10.21s
3.634,1.58,16.07,88.27,31.99,10.21s
3.666,1.58,16.07,71.32,-2.35,10.06s
3.690,1.56,14.02,70.88,-6.41,10.06s
3.720,1.56,14.02,54.04,-19.33,4.42s
3.742,3.78,11.66,55.80,-23.39,4.42s
3.776,3.78,11.66,31.39,-28.90,5.59s
3.799,6.85,9.66,34.42,-34.57,5.59s
3.830,6.85,9.66,13.73,-32.65,0.91s
3.854,7.27,6.71,15.22,-39.42,0.91s
3.887,7.27,6.71,6.05,-34.20,-1.85s
3.910,5.29,5.06,7.32,-35.38,-1.85s
3.939,5.29,5.06,5.92,-35.94,-3.03s
3.961,3.76,4.13,7.54,-35.14,-3.03s
3.995,3.76,4.13,4.43,-34.70,-1.51s
4.018,4.00,3.89,4.62,-34.01,-1.51s
4.049,4.00,3.89,3.39,-36.65,-1.27s
4.072,4.98,4.72,3.12,-34.92,-1.27s
4.105,4.98,4.72,6.54,-35.77,0.41s
4.128,4.52,6.70,5.79,-31.80,0.41s
4.158,4.52,6.70,19.44,-32.09,2.01s
4.180,3.24,9.02,18.70,-27.27,2.01s
4.216,3.24,9.02,34.86,-28.12,4.14s
4.240,2.49,9.82,34.30,-25.13,4.14s
4.269,2.49,9.82,54.41,-15.79,6.56s
4.293,2.49,11.59,55.03,-12.78,6.56s
4.326,2.49,11.59,72.71,1.29,8.61s
4.350,3.76,13.80,74.62,5.05,8.61s
4.380,3.76,13.80,93.29,33.19,9.30s
4.401,7.31,16.95,97.48,37.94,9.30s
4.433,7.31,16.95,107.54,64.10,9.72s
4.455,10.79,19.67,111.40,66.84,9.72s
4.488,10.79,19.67,122.61,84.38,8.83s
4.510,13.55,23.97,126.02,83.19,8.83s
4.546,13.55,23.97,133.60,96.34,7.02s
4.567,15.54,26.25,135.78,95.73,7.02s
4.597,15.54,26.25,138.24,101.91,6.39s
4.620,15.12,26.54,137.94,101.45,6.39s
4.654,15.12,26.54,136.23,98.82,6.06s
4.676,12.01,25.17,133.12,97.15,6.06s
4.708,12.01,25.17,130.59,95.37,6.93s
4.729,9.27,22.89,127.67,95.21,6.93s
4.764,9.27,22.89,122.60,88.31,6.49s
4.786,6.05,19.54,119.06,89.21,6.49s
4.818,6.05,19.54,107.36,71.28,9.85s
4.840,3.90,17.57,105.06,71.53,9.85s
4.874,3.90,17.57,91.57,36.52,4.56s
4.896,2.82,16.10,90.35,34.26,4.56s
4.929,2.82,16.10,70.61,-5.25,3.11s
4.958,3.46,14.65,70.96,-8.27,3.11s
4.989,3.46,14.65,51.77,-26.83,-2.64s
5.010,4.71,12.56,52.76,-31.68,-2.64s
5.038,4.71,12.56,30.17,-33.01,-4.93s
5.060,5.87,10.08,31.38,-37.14,-4.93s
5.094,5.87,10.08,14.70,-35.09,-9.25s
5.117,5.80,6.76,15.49,-39.40,-9.25s
5.148,5.80,6.76,4.68,-35.73,-11.17s
5.169,2.75,5.83,3.86,-35.28,-11.17s
5.203,2.75,5.83,4.85,-36.12,-8.93s
5.224,1.73,4.68,4.58,-35.64,-8.93s
5.257,1.73,4.68,4.65,-34.91,-7.54s
5.279,2.38,4.27,5.39,-35.43,-7.54s
5.314,2.38,4.27,4.16,-34.70,-7.68s
5.337,3.29,4.28,5.03,-35.62,-7.68s
5.368,3.29,4.28,6.75,-32.39,-6.90s
5.392,3.15,5.65,6.73,-29.64,-6.90s
5.422,3.15,5.65,14.98,-26.98,-5.66s
5.444,1.28,7.67,13.80,-22.38,-5.66s
5.478,1.28,7.67,33.46,-21.25,-4.33s
5.500,0.84,8.94,32.03,-16.94,-4.33s
5.533,0.84,8.94,52.58,-13.92,-1.77s
5.557,0.61,10.03,53.26,-11.53,-1.77s
5.589,0.61,10.03,74.87,7.44,-1.56s
5.612,2.00,12.38,78.18,12.43,-1.56s
5.644,2.00,12.38,91.73,34.32,2.90s
5.667,5.26,14.71,95.48,39.56,2.90s
5.700,5.26,14.71,111.56,71.11,1.22s
5.723,8.92,18.08,115.80,72.03,1.22s
5.754,8.92,18.08,126.33,90.02,2.59s
5.778,11.01,21.17,128.95,89.41,2.59s
5.809,11.01,21.17,136.50,101.64,1.30s
5.831,12.27,22.51,138.02,102.46,1.30s
5.864,12.27,22.51,135.70,103.49,1.78s
5.886,11.22,22.36,134.70,102.67,1.78s
5.921,11.22,22.36,134.26,104.20,2.38s
5.942,8.67,20.68,131.41,102.39,2.38s
5.975,8.67,20.68,130.89,99.72,2.86s
5.998,5.07,18.19,126.87,97.63,2.86s
6.031,5.07,18.19,120.55,88.50,5.28s
6.054,1.38,14.61,116.19,87.27,5.28s
6.085,1.38,14.61,106.70,68.22,5.71s
6.108,0.73,12.75,104.25,69.03,5.71s
6.140,0.73,12.75,84.55,15.70,5.19s
6.162,1.03,11.63,83.89,11.26,5.19s
6.195,1.03,11.63,65.26,-18.82,-1.22s
6.218,0.99,10.62,66.85,-22.57,-1.22s
6.249,0.99,10.62,42.15,-36.88,-4.25s
6.274,3.23,9.27,44.08,-40.38,-4.25s
6.305,3.23,9.27,24.18,-42.16,-7.90s
6.328,5.84,7.03,26.79,-47.29,-7.90s
6.360,5.84,7.03,8.49,-42.20,-8.89s
6.383,5.54,5.51,8.78,-45.43,-8.89s
6.414,5.54,5.51,4.38,-41.52,-8.62s
6.440,4.04,5.30,3.54,-39.76,-8.62s
6.469,4.04,5.30,5.33,-40.06,-7.42s
6.493,4.28,5.45,5.50,-38.98,-7.42s
6.525,4.28,5.45,6.56,-37.68,-6.12s
6.548,5.24,5.93,7.44,-38.27,-6.12s
6.579,5.24,5.93,8.83,-35.64,-5.62s
6.601,5.85,6.50,9.42,-36.21,-5.62s
6.635,5.85,6.50,13.43,-32.16,-5.08s
6.658,4.32,8.44,12.10,-27.56,-5.08s
