Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,6.37,11.87,74.91,-32.44,-8.3
0.037,6.37,11.87,74.86,-32.47,-8.3
0.05,6.4,11.85,74.9,-32.3,-8.27
0.088,6.4,11.85,74.86,-32.31,-8.27
0.111,6.41,11.84,74.85,-32.29,-8.3
0.148,6.41,11.84,74.84,-32.28,-8.3
0.167,6.4,11.85,74.81,-32.2,-8.3
0.203,6.4,11.85,74.82,-32.18,-8.3
0.218,6.4,11.85,74.81,-32.06,-8.31
0.255,6.4,11.85,74.81,-32.06,-8.31
0.273,6.4,11.85,74.79,-31.97,-8.35
0.309,6.4,11.85,74.78,-32.01,-8.35
0.328,6.39,11.84,74.78,-31.96,-8.36
0.365,6.39,11.84,74.79,-31.96,-8.36
0.382,6.4,11.85,74.8,-31.88,-8.34
0.418,6.4,11.85,74.79,-31.88,-8.34
0.442,6.4,11.85,74.8,-31.77,-8.38
0.481,6.4,11.85,74.8,-31.77,-8.38
0.495,6.4,11.85,74.8,-31.58,-8.35
0.534,6.4,11.85,74.8,-31.58,-8.35
0.551,6.4,11.84,74.8,-31.54,-8.36
0.591,6.4,11.84,74.8,-31.54,-8.36
0.604,6.4,11.85,74.81,-31.44,-8.37
0.641,6.4,11.85,74.81,-31.43,-8.37
0.66,6.4,11.85,74.75,-31.57,-8.43
0.699,6.4,11.85,74.75,-31.53,-8.43
0.718,6.37,11.84,74.69,-31.58,-8.43
0.758,6.37,11.84,74.71,-31.55,-8.43
0.775,6.38,11.83,74.67,-31.7,-8.46
0.814,6.38,11.83,74.66,-31.66,-8.46
0.83,6.37,11.84,74.63,-31.72,-8.49
0.872,6.37,11.84,74.64,-31.68,-8.49
0.886,6.38,11.84,74.64,-31.79,-8.55
0.928,6.38,11.84,74.63,-31.74,-8.55
0.945,6.4,11.82,74.61,-31.78,-8.56
0.989,6.4,11.82,74.59,-31.76,-8.56
1.005,6.47,11.81,74.59,-31.94,-8.69
1.052,6.47,11.81,74.52,-31.98,-8.69
1.067,6.52,11.83,74.52,-32.15,-8.83
1.115,6.53,11.85,74.48,-32.13,-8.83
1.138,6.53,11.85,74.47,-32.29,-8.86
1.167,6.52,11.85,74.44,-32.41,-9.0
1.217,6.52,11.85,74.45,-32.42,-9.0
1.241,6.54,11.89,74.52,-32.25,-8.97
1.277,6.58,11.93,74.57,-32.23,-9.01
1.314,6.58,11.93,74.54,-32.22,-9.01
1.325,6.61,11.94,74.57,-32.24,-9.01
1.376,6.61,11.94,74.55,-32.24,-9.01
1.388,6.61,11.95,74.53,-32.31,-9.01
1.442,6.61,11.95,74.54,-32.28,-9.01
1.452,6.64,11.97,74.6,-32.3,-9.04
1.489,6.64,11.97,74.58,-32.26,-9.04
1.496,6.65,11.99,74.59,-32.22,-9.0
1.539,6.65,11.99,74.58,-32.17,-9.0
1.556,6.65,11.99,74.58,-32.24,-9.05
1.602,6.65,11.99,74.58,-32.19,-9.05
1.617,6.65,11.99,74.56,-32.22,-9.1
1.66,6.65,11.99,74.56,-32.19,-9.1
1.67,6.65,12.0,74.5,-32.38,-9.17
1.715,6.65,12.0,74.5,-32.34,-9.17
1.728,6.65,12.0,74.45,-32.5,-9.22
1.773,6.64,11.99,74.44,-32.5,-9.22
1.804,6.64,11.99,74.46,-32.42,-9.22
1.825,6.65,12.01,74.6,-32.31,-9.1
1.871,6.65,12.01,74.59,-32.29,-9.1
1.883,6.67,11.97,74.7,-31.44,-8.83
1.928,6.67,11.97,74.68,-31.5,-8.83
1.948,6.66,11.98,74.69,-31.57,-8.95
1.996,6.68,11.96,74.71,-31.58,-8.95
2.021,6.68,11.96,74.63,-31.67,-8.95
2.049,6.68,11.97,74.61,-31.69,-9.01
2.098,6.68,11.97,74.61,-31.72,-9.01
2.114,6.68,11.95,74.59,-31.71,-9.12
2.15,6.68,11.95,74.59,-31.77,-9.12
2.158,6.68,11.96,74.62,-31.63,-9.05
2.206,6.68,11.96,74.62,-31.64,-9.05
2.225,6.64,11.92,74.51,-31.83,-9.14
2.27,6.64,11.92,74.54,-31.87,-9.14
2.284,6.6,11.88,74.5,-31.9,-9.13
2.328,6.58,11.84,74.49,-31.95,-9.13
2.356,6.58,11.84,74.56,-31.89,-9.14
2.375,6.58,11.82,74.55,-32.02,-9.17
2.422,6.58,11.82,74.54,-32.04,-9.17
2.44,6.61,11.78,74.58,-31.9,-9.17
2.489,6.61,11.78,74.55,-31.95,-9.17
2.501,6.62,11.78,74.54,-32.07,-9.24
2.539,6.62,11.78,74.53,-32.11,-9.24
2.548,6.57,11.75,74.46,-32.24,-9.33
2.591,6.57,11.75,74.49,-32.26,-9.33
2.609,6.58,11.74,74.52,-32.31,-9.36
2.657,6.58,11.74,74.51,-32.35,-9.36
2.67,6.58,11.73,74.45,-32.45,-9.68
2.717,6.5,11.68,74.32,-32.4,-9.68
2.749,6.5,11.68,75.11,-25.26,-8.94
2.764,6.78,11.67,76.29,-16.82,-6.7
2.809,6.78,11.67,76.01,-16.98,-6.7
2.821,7.16,11.63,77.28,1.66,0.09
2.866,7.16,11.63,76.91,1.63,0.09
2.885,7.92,11.3,78.6,28.79,8.34
2.931,7.92,11.3,77.78,28.34,8.34
2.947,8.79,10.74,78.59,60.45,12.04
2.995,10.11,10.34,78.64,61.17,12.04
3.02,10.11,10.34,75.16,81.01,11.2
3.04,10.75,10.05,74.13,101.05,8.41
3.084,10.75,10.05,73.45,100.62,8.41
3.1,10.81,9.89,71.54,102.87,6.65
3.143,10.81,9.89,71.45,102.72,6.65
3.159,10.59,9.71,70.7,106.26,6.51
3.207,10.59,9.71,70.88,106.05,6.51
3.225,10.37,9.49,70.74,107.45,7.1
3.27,9.94,9.49,70.5,106.9,7.1
3.3,9.94,9.49,72.03,105.83,6.5
3.317,8.99,9.9,73.18,91.25,7.23
3.358,8.99,9.9,74.18,91.88,7.23
3.382,8.02,10.75,75.76,62.75,11.74
3.427,8.02,10.75,76.89,63.83,11.74
3.446,7.92,12.29,78.62,37.95,10.26
3.491,8.52,13.7,80.31,39.59,10.26
3.528,8.52,13.7,78.42,14.71,4.62
3.541,9.1,14.17,79.03,-8.88,-4.79
3.578,9.1,14.17,78.64,-8.58,-4.79
3.601,9.63,14.11,78.02,-31.65,-11.81
3.649,9.63,14.11,77.5,-31.77,-11.81
3.665,9.79,13.95,76.69,-38.69,-14.19
3.713,9.79,13.95,76.49,-38.74,-14.19
3.725,10.04,14.21,76.5,-47.97,-10.58
3.768,9.89,14.32,76.42,-48.63,-10.58
3.802,9.89,14.32,74.79,-54.88,-8.86
3.819,9.9,14.3,73.83,-57.2,-8.83
3.867,9.9,14.3,73.81,-56.94,-8.83
3.879,9.87,14.03,72.93,-54.88,-10.94
3.916,9.87,14.03,72.87,-55.39,-10.94
3.928,9.93,13.99,72.7,-48.99,-9.4
3.976,9.93,13.99,72.63,-49.32,-9.4
3.989,9.81,13.71,71.87,-33.07,-8.9
4.035,9.81,13.71,71.9,-33.46,-8.9
4.051,9.82,13.35,72.21,-15.19,-2.47
4.098,9.82,13.35,72.09,-15.6,-2.47
4.109,10.2,12.5,73.59,10.55,4.91
4.146,10.2,12.5,72.96,9.5,4.91
4.155,10.92,11.85,74.39,46.66,10.55
4.193,10.92,11.85,73.51,45.86,10.55
4.205,11.51,11.35,73.22,71.76,10.12
4.25,11.51,11.35,72.53,71.12,10.12
4.267,11.95,10.82,70.87,92.07,7.29
4.316,11.95,10.82,70.33,91.47,7.29
4.328,11.93,10.56,69.02,99.35,5.08
4.375,11.93,10.56,68.99,99.01,5.08
4.392,11.75,10.11,68.83,104.42,5.52
4.431,11.7,9.61,68.56,104.07,5.52
4.459,11.7,9.61,69.56,106.46,6.31
4.485,11.67,9.04,69.32,108.74,6.14
4.534,11.67,9.04,69.25,108.11,6.14
4.547,11.63,9.01,69.58,107.65,5.46
4.587,11.63,9.01,69.62,107.51,5.46
4.598,11.48,9.13,70.67,100.39,5.01
4.639,11.48,9.13,70.84,100.48,5.01
4.658,10.95,9.59,72.51,77.73,7.24
4.702,10.95,9.59,73.11,78.15,7.24
4.719,10.36,10.73,74.42,43.72,6.36
4.76,10.28,11.96,75.82,44.4,6.36
4.789,10.28,11.96,74.97,18.93,0.4
4.813,10.33,13.15,74.52,-11.78,-10.43
4.853,10.33,13.15,74.83,-10.13,-10.43
4.867,10.48,13.91,73.48,-40.66,-20.0
4.905,10.48,13.91,73.58,-39.35,-20.0
4.92,10.73,14.51,73.15,-49.17,-18.65
4.965,10.73,14.51,73.13,-47.87,-18.65
4.984,10.76,14.7,72.18,-52.83,-17.33
5.031,10.76,14.7,72.21,-52.39,-17.33
5.044,10.82,14.85,71.73,-52.95,-17.3
5.09,10.82,14.85,71.74,-52.79,-17.3
5.107,10.87,14.68,71.28,-51.99,-18.55
5.149,10.92,14.37,70.35,-46.61,-19.37
5.198,10.92,14.37,70.2,-47.14,-19.37
5.21,10.9,14.15,69.58,-31.36,-15.48
5.257,10.9,14.15,69.54,-32.15,-15.48
5.275,10.81,13.83,70.17,-5.39,-5.0
5.305,11.3,12.96,72.19,30.53,4.6
5.346,11.3,12.96,71.46,29.42,4.6
5.362,12.03,12.27,72.84,63.45,7.04
5.399,12.03,12.27,71.96,62.41,7.04
5.416,12.81,11.81,71.15,87.22,4.24
5.457,12.81,11.81,70.29,86.59,4.24
5.476,13.02,11.47,68.38,94.54,1.28
5.514,13.02,11.47,68.1,94.25,1.28
5.527,12.85,11.12,67.25,100.48,1.25
5.571,12.85,11.12,67.35,100.12,1.25
5.59,12.71,10.61,67.51,103.68,1.8
5.636,12.71,10.61,67.55,103.16,1.8
5.647,12.74,10.0,67.9,106.49,2.62
5.691,12.74,10.0,67.77,105.77,2.62
5.705,12.77,9.72,68.36,108.01,2.4
5.752,12.77,9.72,68.28,107.65,2.4
5.767,12.62,9.62,68.28,108.48,2.58
5.81,12.58,9.53,68.3,108.34,2.58
5.839,12.58,9.53,69.11,105.79,2.11
5.864,12.31,9.63,70.01,88.28,2.71
5.908,12.31,9.63,70.29,88.29,2.71
5.922,11.46,10.36,72.51,57.36,3.01
5.969,11.46,10.36,73.48,58.03,3.01
5.982,11.49,11.39,74.31,4.66,-4.1
6.029,11.49,11.39,74.53,5.65,-4.1
6.042,12.01,12.37,75.11,-27.25,-13.03
6.078,12.01,12.37,74.88,-26.0,-13.03
6.085,12.25,12.96,74.59,-43.3,-13.66
6.128,12.25,12.96,74.55,-42.28,-13.66
6.146,12.0,13.14,73.3,-47.8,-12.9
6.193,12.0,13.14,73.58,-47.39,-12.9
6.205,11.61,13.19,72.54,-50.44,-12.25
6.252,11.61,13.19,72.93,-50.17,-12.25
6.267,11.45,13.17,72.66,-50.47,-11.22
6.309,11.27,13.15,72.59,-50.5,-11.22
6.334,11.27,13.15,72.53,-48.91,-11.91
6.361,11.25,13.07,71.92,-28.79,-8.92
6.408,11.25,13.07,71.91,-29.21,-8.92
6.428,11.42,12.93,72.57,-4.82,-2.35
6.468,11.42,12.93,72.38,-5.06,-2.35
6.481,11.88,12.45,73.92,32.93,6.0
6.531,11.88,12.45,73.34,32.33,6.0
6.545,12.65,11.66,74.25,64.54,8.02
6.58,13.41,11.06,73.81,64.24,8.02
6.609,13.41,11.06,70.78,84.87,3.92
6.645,13.5,10.58,69.25,99.06,1.65
6.691,13.5,10.58,69.07,98.57,1.65
6.702,13.21,10.08,68.42,103.83,1.04
6.744,13.21,10.08,68.61,103.45,1.04
6.752,13.09,9.58,68.78,107.2,1.38
