Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,3.07,0.71,3.03,-1.17,-5.47
0.033,3.07,0.71,2.98,-1.22,-5.43
0.056,3.05,0.66,2.97,-1.18,-5.43
0.084,3.05,0.66,2.93,-1.17,-5.4
0.106,3.0,0.63,2.96,-1.05,-5.4
0.144,3.0,0.63,2.89,-1.14,-5.4
0.173,2.95,0.66,2.94,-1.06,-5.4
0.195,2.95,0.66,2.85,-1.19,-5.41
0.217,2.92,0.66,2.88,-1.12,-5.41
0.253,2.92,0.66,2.8,-1.26,-5.39
0.275,2.95,0.61,2.74,-1.26,-5.39
0.306,2.95,0.61,2.81,-1.24,-5.36
0.328,2.94,0.58,2.8,-1.28,-5.35
0.361,2.94,0.58,2.8,-1.16,-5.36
0.383,2.95,0.56,2.79,-1.15,-5.36
0.415,2.95,0.56,2.82,-1.22,-5.4
0.437,2.94,0.61,2.86,-1.3,-5.4
0.476,2.94,0.61,2.85,-1.25,-5.47
0.499,2.95,0.64,2.85,-1.33,-5.47
0.526,2.95,0.64,2.88,-1.22,-5.49
0.548,2.95,0.65,2.88,-1.27,-5.49
0.583,2.95,0.65,2.88,-1.15,-5.5
0.609,2.94,0.65,2.89,-1.14,-5.5
0.637,2.94,0.65,2.89,-1.15,-5.51
0.66,2.88,0.71,2.96,-1.16,-5.51
0.692,2.88,0.71,2.84,-1.12,-5.52
0.713,2.87,0.72,2.86,-1.04,-5.52
0.746,2.87,0.72,2.83,-1.1,-5.51
0.77,2.84,0.77,2.89,-1.0,-5.51
0.804,2.84,0.77,2.82,-1.14,-5.52
0.827,2.8,0.83,2.89,-1.09,-5.52
0.857,2.8,0.83,2.79,-1.1,-5.51
0.887,2.78,0.84,2.82,-1.03,-5.51
0.923,2.78,0.84,2.78,-1.05,-5.51
0.948,2.76,0.85,2.8,-0.97,-5.51
0.972,2.76,0.85,2.76,-1.13,-5.5
0.994,2.74,0.87,2.78,-1.19,-5.5
1.023,2.74,0.87,2.76,-1.08,-5.51
1.044,2.73,0.83,2.76,-1.12,-5.51
1.076,2.73,0.83,2.78,-1.18,-5.57
1.099,2.73,0.75,2.72,-1.33,-5.57
1.132,2.73,0.75,2.86,-1.27,-5.65
1.154,2.79,0.63,2.72,-1.75,-5.65
1.186,2.79,0.63,2.92,-1.1,-5.66
1.21,2.83,0.46,2.78,-1.28,-5.66
1.243,2.83,0.46,2.9,-1.14,-5.71
1.266,2.85,0.34,2.8,-1.29,-5.71
1.3,2.85,0.34,2.94,-0.95,-5.73
1.328,2.81,0.28,2.93,-0.85,-5.73
1.357,2.81,0.28,2.81,-0.82,-5.75
1.383,2.76,0.19,2.82,-0.31,-5.75
1.412,2.76,0.19,2.56,-0.82,-5.57
1.437,2.77,0.13,2.54,-0.31,-5.57
1.464,2.77,0.13,2.41,-0.71,-5.31
1.488,2.82,0.18,2.43,0.02,-5.31
1.517,2.82,0.18,2.28,-0.94,-5.16
1.541,2.87,0.25,2.29,-0.38,-5.16
1.571,2.87,0.25,2.19,-0.88,-4.94
1.595,2.98,0.26,2.13,-0.12,-4.94
1.628,2.98,0.26,2.16,-1.21,-4.78
1.652,3.04,0.22,2.11,-0.78,-4.78
1.682,3.04,0.22,2.16,-1.28,-4.67
1.706,3.07,0.23,2.15,-0.98,-4.67
1.738,3.07,0.23,2.18,-1.38,-4.56
1.763,3.1,0.21,2.15,-1.22,-4.56
1.793,3.1,0.21,2.18,-1.47,-4.5
1.816,3.09,0.2,2.18,-1.44,-4.5
1.847,3.09,0.2,2.17,-1.49,-4.48
1.869,3.08,0.19,2.18,-1.44,-4.48
1.9,3.08,0.19,2.16,-1.47,-4.48
1.922,3.03,0.23,2.22,-1.45,-4.48
1.958,3.03,0.23,2.12,-1.49,-4.49
1.98,3.02,0.23,2.12,-1.54,-4.49
2.011,3.02,0.23,2.07,-1.48,-4.52
2.033,3.04,0.24,2.06,-1.51,-4.52
2.068,3.04,0.24,2.1,-1.47,-4.52
2.092,3.03,0.25,2.1,-1.57,-4.52
2.122,3.03,0.25,2.11,-1.37,-4.52
2.146,3.02,0.26,2.12,-1.37,-4.52
2.176,3.02,0.26,2.11,-1.36,-4.52
2.199,3.0,0.27,2.13,-1.31,-4.53
2.23,3.0,0.27,2.07,-1.52,-4.57
2.253,2.99,0.28,2.09,-1.47,-4.57
2.284,2.99,0.28,1.99,-1.82,-4.56
2.308,2.98,0.26,1.99,-1.75,-4.56
2.339,2.98,0.26,1.91,-2.17,-4.51
2.363,2.99,0.27,1.91,-2.19,-4.51
2.395,2.99,0.27,1.91,-2.29,-4.53
2.417,2.97,0.24,1.92,-2.24,-4.53
2.448,2.97,0.24,1.88,-2.33,-4.54
2.47,2.96,0.24,1.9,-2.29,-4.54
2.504,2.96,0.24,1.88,-2.31,-4.6
2.527,2.95,0.24,1.88,-2.35,-4.6
2.559,2.95,0.24,1.86,-2.25,-4.61
2.581,2.98,0.23,1.83,-2.3,-4.61
2.614,2.98,0.23,1.88,-2.31,-4.61
2.636,3.01,0.21,1.85,-2.41,-4.61
2.669,3.01,0.21,1.92,-2.31,-4.62
2.693,2.98,0.18,1.93,-2.39,-4.62
2.725,2.98,0.18,1.97,-2.32,-4.63
2.749,3.04,0.2,1.91,-2.34,-4.63
2.78,3.04,0.2,2.19,-2.19,-4.39
2.804,3.26,0.2,1.97,-2.32,-4.39
2.835,3.26,0.2,2.49,-6.14,-5.51
2.859,4.29,0.04,1.48,-6.53,-5.51
2.891,4.29,0.04,2.84,-12.91,-7.5
2.913,6.17,1.07,2.28,-13.41,-7.5
2.947,6.17,1.07,2.54,-21.14,-11.76
2.971,9.27,3.12,3.81,-20.57,-11.76
3.001,9.27,3.12,2.39,-30.04,-12.53
3.026,12.87,5.4,6.08,-29.1,-12.53
3.056,12.87,5.4,4.16,-34.13,-16.62
3.08,19.76,9.11,11.39,-31.97,-16.62
3.111,19.76,9.11,6.24,-39.93,-14.58
3.133,26.78,12.55,13.09,-36.72,-14.58
3.167,26.78,12.55,8.88,-37.36,-17.76
3.192,36.86,18.21,18.3,-32.63,-17.76
3.221,36.86,18.21,12.99,-38.68,-16.06
3.244,47.3,24.07,23.04,-36.41,-16.06
3.276,47.3,24.07,15.19,-34.99,-16.61
3.3,55.6,28.83,23.1,-34.32,-16.61
3.33,55.6,28.83,17.59,-31.12,-16.39
3.352,64.56,37.25,25.2,-29.65,-16.39
3.387,64.56,37.25,17.59,-26.72,-18.32
3.411,70.91,45.2,21.64,-24.63,-18.32
3.44,70.91,45.2,17.12,-25.35,-17.76
3.462,76.7,54.17,21.02,-24.36,-17.76
3.494,76.7,54.17,16.1,-23.51,-19.18
3.515,79.94,61.03,17.31,-22.63,-19.18
3.551,79.94,61.03,16.38,-21.92,-20.32
3.575,81.81,65.2,17.2,-22.46,-20.32
3.605,81.81,65.2,15.96,-20.78,-20.29
3.629,82.59,67.11,16.15,-20.45,-20.29
3.66,82.59,67.11,15.91,-20.15,-21.58
3.683,82.37,65.81,16.47,-19.68,-21.58
3.715,82.37,65.81,15.42,-21.71,-21.54
3.738,81.15,62.54,15.36,-22.83,-21.54
3.77,81.15,62.54,15.58,-22.0,-21.44
3.793,78.43,56.56,15.24,-23.56,-21.44
3.826,78.43,56.56,15.95,-23.78,-20.69
3.85,75.04,50.7,15.36,-25.07,-20.69
3.879,75.04,50.7,16.25,-26.23,-20.94
3.903,69.04,41.18,16.75,-29.4,-20.94
3.935,69.04,41.18,15.16,-27.36,-18.96
3.958,63.13,34.49,15.68,-28.52,-18.96
3.989,63.13,34.49,14.32,-32.36,-19.93
4.011,55.02,27.59,15.12,-36.2,-19.93
4.044,55.02,27.59,12.4,-40.79,-20.44
4.067,48.23,23.26,13.07,-44.37,-20.44
4.099,48.23,23.26,10.91,-43.21,-20.11
4.122,40.38,19.35,12.08,-48.42,-20.11
4.156,40.38,19.35,10.31,-45.59,-21.9
4.178,33.95,15.47,13.15,-49.38,-21.9
4.21,33.95,15.47,10.04,-51.29,-23.41
4.232,26.87,11.62,14.62,-55.98,-23.41
4.265,26.87,11.62,8.38,-51.57,-23.29
4.287,22.36,9.72,12.45,-52.44,-23.29
4.32,22.36,9.72,9.99,-53.05,-24.13
4.343,17.45,7.57,14.91,-54.06,-24.13
4.375,17.45,7.57,9.41,-55.32,-23.81
4.396,14.12,6.09,12.89,-55.96,-23.81
4.431,14.12,6.09,10.24,-54.97,-25.07
4.454,11.05,4.76,13.63,-54.89,-25.07
4.486,11.05,4.76,10.07,-53.9,-24.48
4.509,9.73,4.22,11.55,-53.43,-24.48
4.541,9.73,4.22,10.18,-54.13,-24.33
4.564,8.0,3.24,12.12,-54.41,-24.33
4.597,8.0,3.24,9.4,-53.1,-23.25
4.618,7.44,2.58,10.15,-53.12,-23.25
4.652,7.44,2.58,9.49,-51.82,-23.2
4.673,8.13,2.28,8.88,-51.95,-23.2
4.707,8.13,2.28,10.02,-52.11,-23.72
4.73,10.25,2.66,7.73,-53.55,-23.72
4.762,10.25,2.66,9.11,-50.77,-23.64
4.784,13.14,4.14,6.3,-50.47,-23.64
4.816,13.14,4.14,6.84,-47.82,-23.99
4.838,18.19,7.02,3.05,-44.83,-23.99
4.872,18.19,7.02,2.63,-47.09,-22.73
4.893,23.57,10.08,3.06,-43.86,-22.73
4.926,23.57,10.08,1.78,-47.08,-21.89
4.948,30.57,13.88,8.09,-43.3,-21.89
4.981,30.57,13.88,7.21,-45.93,-19.7
5.004,36.84,17.7,12.58,-43.11,-19.7
5.036,36.84,17.7,10.69,-43.22,-21.3
5.057,45.88,23.98,18.28,-39.59,-21.3
5.092,45.88,23.98,13.4,-41.29,-18.43
5.114,53.04,30.87,18.13,-37.46,-18.43
5.147,53.04,30.87,16.74,-37.22,-20.01
5.168,61.18,38.94,22.54,-35.11,-20.01
5.201,61.18,38.94,19.97,-32.57,-18.76
