Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.05,0.30,0.77,-0.11,-0.12
0.023,1.05,0.30,0.77,-0.11,-0.12
0.052,1.05,0.30,0.76,0.00,-0.11
0.074,1.05,0.31,0.76,0.00,-0.11
0.110,1.05,0.31,0.77,-0.12,-0.13
0.132,1.05,0.30,0.77,-0.18,-0.13
0.162,1.05,0.30,0.76,-0.06,-0.13
0.185,1.05,0.31,0.75,-0.07,-0.12
0.218,1.05,0.31,0.77,-0.05,-0.10
0.246,1.04,0.30,0.78,-0.06,-0.10
0.273,1.04,0.30,0.76,-0.06,-0.11
0.296,1.05,0.31,0.75,-0.09,-0.11
0.328,1.05,0.31,0.77,-0.03,-0.11
0.350,1.05,0.31,0.77,-0.03,-0.11
0.382,1.05,0.31,0.76,0.00,-0.12
0.404,1.05,0.31,0.76,0.00,-0.12
0.437,1.05,0.31,0.77,0.02,-0.11
0.461,1.05,0.31,0.77,0.04,-0.11
0.491,1.05,0.31,0.77,0.03,-0.12
0.514,1.05,0.31,0.77,0.04,-0.13
0.547,1.05,0.31,0.77,0.00,-0.12
0.570,1.04,0.30,0.78,0.03,-0.12
0.603,1.04,0.30,0.76,0.00,-0.12
0.626,1.04,0.30,0.76,0.00,-0.12
0.656,1.04,0.30,0.76,0.02,-0.11
0.678,1.04,0.30,0.76,0.02,-0.11
0.712,1.04,0.30,0.77,-0.03,-0.14
0.734,1.05,0.31,0.76,-0.04,-0.14
0.766,1.05,0.31,0.77,0.02,-0.14
0.790,1.05,0.31,0.78,-0.07,-0.14
0.823,1.05,0.31,0.77,-0.04,-0.16
0.846,1.05,0.30,0.77,-0.10,-0.16
0.877,1.05,0.30,0.77,0.00,-0.17
0.901,1.06,0.31,0.75,-0.05,-0.16
0.932,1.06,0.31,0.78,0.03,-0.18
0.955,1.32,0.14,0.77,-0.31,-0.18
0.987,1.32,0.14,1.02,0.24,-0.21
1.010,1.69,0.05,0.81,-0.09,-0.21
1.042,1.69,0.05,1.39,0.56,-0.22
1.065,1.75,0.07,1.33,0.56,-0.22
1.096,1.75,0.07,1.44,0.55,-0.21
1.118,1.70,0.08,1.47,0.59,-0.21
1.153,1.70,0.08,1.39,0.51,-0.19
1.174,1.78,0.09,1.32,0.43,-0.19
1.207,1.78,0.09,1.46,0.59,-0.18
1.231,1.79,0.12,1.42,0.59,-0.18
1.263,1.79,0.12,1.48,0.55,-0.17
1.287,1.79,0.14,1.47,0.56,-0.17
1.318,1.79,0.14,1.50,0.51,-0.15
1.342,1.73,0.13,1.55,0.51,-0.15
1.373,1.73,0.13,1.66,0.59,0.17
1.396,1.51,0.06,1.88,1.22,0.17
1.428,1.51,0.06,2.59,1.97,0.08
1.456,1.11,0.31,3.14,4.95,0.08
1.490,1.11,0.31,6.12,0.93,-0.86
1.512,1.89,1.14,6.46,6.31,-0.86
1.537,1.89,1.14,13.41,-4.41,0.15
1.560,3.23,1.55,12.77,-1.52,0.15
1.593,3.23,1.55,24.77,-4.67,0.14
1.616,4.43,1.67,23.96,-3.04,0.14
1.649,4.43,1.67,40.99,-2.71,0.04
1.672,4.62,1.56,40.80,-2.18,0.04
1.703,4.62,1.56,55.07,4.91,-0.23
1.726,3.20,2.51,56.92,7.31,-0.23
