Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.11,0.52,2.07,-3.79,-1.03
0.019,1.15,0.49,2.11,-3.68,-1.03
0.067,1.15,0.49,2.10,-3.68,-1.03
0.092,1.16,0.48,2.07,-3.65,-1.04
0.132,1.16,0.48,2.07,-3.63,-1.04
0.175,1.16,0.48,2.07,-3.65,-1.09
0.187,1.19,0.45,2.10,-3.65,-1.09
0.232,1.19,0.45,2.08,-3.66,-1.09
0.248,1.19,0.46,2.04,-3.79,-1.09
0.295,1.19,0.46,2.04,-3.73,-1.09
0.315,1.19,0.46,2.04,-3.81,-1.08
0.352,1.21,0.48,2.02,-3.80,-1.08
0.384,1.21,0.48,2.06,-3.70,-1.09
0.403,1.23,0.50,2.03,-3.66,-1.09
0.451,1.23,0.50,2.05,-3.63,-1.09
0.465,1.24,0.51,2.06,-3.62,-1.09
0.512,1.24,0.51,2.07,-3.61,-1.09
0.527,1.24,0.51,2.07,-3.60,-1.09
0.575,1.25,0.49,2.09,-3.61,-1.09
0.608,1.25,0.49,2.04,-3.73,-1.11
0.620,1.28,0.47,2.07,-3.68,-1.13
0.667,1.28,0.47,2.07,-3.72,-1.13
0.684,1.31,0.51,2.00,-3.51,-1.13
0.721,1.31,0.51,2.05,-3.63,-1.13
0.731,1.29,0.54,2.04,-3.59,-1.12
0.782,1.29,0.54,2.06,-3.65,-1.12
0.793,1.29,0.54,2.09,-3.76,-1.12
0.845,1.29,0.54,2.09,-3.72,-1.12
0.856,1.29,0.54,2.10,-3.61,-1.12
0.903,1.29,0.54,2.10,-3.62,-1.12
0.921,1.29,0.54,2.09,-3.62,-1.12
0.951,1.29,0.54,2.10,-3.63,-1.12
0.983,1.29,0.54,2.10,-3.64,-1.13
1.015,1.29,0.54,2.09,-3.63,-1.15
1.055,1.29,0.54,2.09,-3.63,-1.15
1.063,1.29,0.54,2.09,-3.61,-1.11
1.100,1.29,0.54,2.09,-3.61,-1.11
1.120,1.30,0.54,2.07,-3.60,-1.12
1.159,1.30,0.54,2.07,-3.62,-1.12
1.177,1.30,0.56,2.07,-3.59,-1.10
1.218,1.30,0.56,2.08,-3.66,-1.10
1.232,1.28,0.57,2.10,-3.60,-1.10
1.277,1.28,0.57,2.10,-3.65,-1.09
1.289,1.28,0.57,2.12,-3.59,-1.08
1.335,1.28,0.57,2.12,-3.67,-1.08
1.353,1.29,0.58,2.13,-3.83,-1.11
1.398,1.29,0.58,2.13,-3.79,-1.11
1.412,1.29,0.58,2.13,-3.81,-1.08
1.462,1.29,0.58,2.14,-3.76,-1.08
1.480,1.28,0.58,2.16,-3.79,-1.09
1.510,1.26,0.57,2.17,-3.93,-1.07
1.562,1.26,0.57,2.15,-3.90,-1.07
1.583,1.27,0.56,2.15,-3.74,-1.06
