Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,7.97,7.45
0.023,8.85,9.45
0.056,8.85,16.82
0.092,9.46,15.72
0.154,9.74,23.58
0.191,10.24,33.40
0.225,10.24,43.23
0.256,10.98,55.41
0.315,11.55,54.78
0.341,12.51,66.32
0.379,12.51,76.44
0.412,13.44,76.84
0.475,13.44,88.82
0.493,14.89,102.81
0.525,16.39,102.11
0.554,16.39,109.12
0.589,19.25,123.35
0.654,22.57,122.18
0.675,25.66,126.75
0.714,25.66,132.27
0.747,28.64,133.61
0.804,28.64,134.13
0.823,29.89,137.38
0.856,30.15,136.05
0.888,30.15,132.17
0.923,29.15,128.78
0.984,27.69,128.75
1.004,26.00,126.80
1.042,26.00,123.10
1.076,23.64,121.77
1.139,23.64,119.22
1.159,21.76,109.99
1.195,19.38,110.57
1.226,18.13,106.69
1.291,18.13,98.53
1.309,16.20,89.58
1.343,15.48,90.75
1.379,15.48,81.20
1.450,14.31,80.53
1.472,13.43,72.67
1.501,12.55,62.69
1.536,12.55,56.43
1.578,12.30,56.29
1.603,12.30,46.34
1.630,12.66,46.25
1.655,12.66,36.67
1.682,12.94,37.32
1.706,12.94,24.10
1.750,12.11,25.43
1.779,10.54,16.11
1.816,10.54,8.18
1.843,8.49,9.75
1.872,8.49,5.26
1.918,7.65,6.34
1.945,8.04,6.16
1.980,8.04,8.06
2.008,8.99,7.62
2.038,8.99,11.19
2.074,9.82,10.31
2.101,9.82,17.93
2.129,10.18,17.19
2.156,10.18,25.58
2.183,10.07,25.49
2.209,10.07,37.31
2.254,10.41,37.14
2.280,11.25,48.08
2.318,11.25,60.06
2.346,13.57,60.27
2.373,13.57,67.52
2.423,15.52,68.03
2.445,16.95,69.87
2.481,16.95,67.61
2.508,17.42,67.54
2.539,17.42,62.88
2.584,17.25,63.18
2.612,16.31,54.75
2.653,16.31,47.51
2.681,15.69,47.63
2.708,15.69,37.73
2.752,15.39,38.02
2.778,15.20,26.40
2.819,15.20,15.34
2.846,13.61,16.43
2.873,13.61,6.85
2.920,10.70,8.72
2.945,8.87,6.31
2.983,8.87,5.50
3.012,7.29,6.23
3.039,7.29,7.71
3.086,5.93,7.44
3.127,4.67,9.20
3.155,4.67,12.31
3.183,4.46,10.92
3.209,4.46,13.62
3.253,5.06,12.44
3.280,6.05,12.74
3.314,6.05,13.95
3.342,7.23,12.48
3.372,7.23,14.16
3.421,8.93,12.05
3.445,9.87,13.61
3.481,9.87,15.53
