Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,13.88,11.45,101.69,-32.71,-75.25s
0.028,13.67,11.55,101.93,-32.62,-75.25s
0.055,13.67,11.55,101.70,-32.50,-75.16s
0.091,13.53,11.62,101.85,-32.45,-75.16s
0.114,13.53,11.62,101.80,-32.72,-75.17s
0.139,13.44,11.74,101.94,-32.77,-75.17s
0.163,13.44,11.74,101.83,-32.50,-75.13s
0.194,13.35,11.77,101.93,-32.47,-75.13s
0.226,13.35,11.77,101.90,-32.45,-75.11s
0.274,13.15,11.69,102.01,-32.23,-75.11s
0.294,13.10,11.70,101.95,-32.02,-75.00s
0.336,13.10,11.70,101.94,-31.97,-75.02s
0.364,13.10,11.76,101.98,-31.99,-75.02s
0.398,13.10,11.76,101.90,-32.30,-74.97s
0.449,13.01,11.74,101.95,-32.16,-74.97s
0.462,12.85,11.57,101.92,-32.20,-74.92s
0.501,12.85,11.57,101.88,-32.08,-74.79s
0.533,12.74,11.19,101.75,-31.76,-74.79s
0.558,12.74,11.19,101.99,-32.03,-74.77s
0.602,12.95,10.93,101.67,-32.01,-74.77s
0.625,12.95,10.93,102.14,-31.96,-74.91s
0.647,13.05,10.98,102.12,-32.07,-74.81s
0.690,13.13,11.24,102.26,-32.07,-74.81s
0.724,13.13,11.24,102.22,-31.61,-74.73s
0.762,13.17,11.47,102.32,-31.65,-74.73s
0.792,13.17,11.47,102.37,-31.46,-74.60s
0.814,13.01,11.76,102.85,-32.25,-74.92s
0.858,12.86,11.73,102.67,-32.09,-74.92s
0.893,12.86,11.73,102.31,-32.33,-75.15s
0.936,12.65,11.53,102.37,-31.94,-75.15s
0.965,12.65,11.53,102.35,-32.49,-75.18s
0.980,12.49,11.42,102.39,-32.14,-75.00s
1.021,12.50,11.32,102.26,-32.26,-75.00s
1.055,12.50,11.32,102.22,-32.86,-75.20s
1.092,12.65,11.32,102.10,-33.01,-75.20s
1.116,12.65,11.32,102.28,-32.67,-75.27s
1.147,12.72,11.47,102.31,-32.90,-75.27s
1.178,12.72,11.47,102.20,-32.24,-75.28s
1.214,12.73,11.63,102.27,-32.43,-75.26s
1.257,12.66,11.75,102.32,-32.35,-75.26s
1.285,12.66,11.75,102.09,-31.88,-75.30s
1.317,12.51,11.76,102.22,-31.79,-75.30s
1.345,12.51,11.76,102.08,-31.67,-75.27s
1.373,12.43,11.71,102.11,-31.56,-75.27s
1.419,12.43,11.71,102.14,-30.94,-75.21s
1.426,12.35,11.65,102.40,-29.82,-75.01s
1.459,12.36,11.54,102.29,-29.82,-75.01s
1.506,12.36,11.54,103.13,-23.63,-73.75s
